ProviderDirect,Client ID,Client Name,UDP Schema test config,UDP Normalized Client Id,UDP Client ID,UDP Client Name
Y,245,United Airlines,Q900245O,00245,C0245,United Airlines
Y,1697,Novartis Corporation (USA),Q601697X,01697,N1697,MetLife - Novartis
Y,4508,"Ernst and Young, L.L.P.",Q74508TD,04508,E4508,EY
Y,1526,Federal Reserve Employee Benefits System,Q41526TX,01526,F1526,Federal Reserve Employee Benefits System
Y,1442,CNA Financial Corporation,Q71442TW,01442,C1442,CNA
Y,1955,Campbell Soup Company,Q316757X,01955,16757,Campbell
Y,5094,"Cardinal Health, Inc.",Q25094TD,05094,C5094,"Cardinal Health, Inc."
Y,2491,"The Goldman Sachs Group, Inc.",Q82491TF,02491,G2491,
Y,1909,Southern Company,Q901909D,01909,S1909,
Y,695,Johnson and Johnson,Q40695TX,00695,J0695,
Y,2346,The Boeing Company,Q902346F,02346,B2346,BOEING
Y,1377,Dominion Energy,Q71377TD,01377,C1377,Dominion Energy
Y,6597,Deutsche Bank AG,Q76597TX,06597,D6597,Deutsche Bank
Y,1808,The Allstate Corporation,Q801808M,01808,A1808,Allstate Corporation
Y,3349,ATnT Inc.,Q203349V,03349,S3349,AT&T
Y,726,BP p.l.c.,Q10726TE,00726,A0726,BP America
Y,3537,Siemens Corporation,Q903537B,03537,S3537,Siemens Corporation
Y,1215,"United Parcel Service, Inc.",Q11215TE,01215,U1215,United Parcel Service
Y,2524,"J. C. Penney Company, Inc.",Q32524TW,02524,J2524,
Y,6957,Thomson Reuters,Q46957TX,06957,T6957,Thomson Reuters
Y,2378,Arconic,QB023788H,02378,A2378,Arconic
Y,1487,Bank of America,Q201487P,01487,N1487,
Y,5911,Duke Energy Corporation,Q15911TG,05911,D5911,undefined
Y,8101,Westinghouse Electric Company LLC,Q78101TW,08101,W8101,
Y,5923,NiSource,Q35923TE,05923,C5923,
Y,17613,GE Vernova,Q417613F,,,
Y,17728,NewCo,Q317728C,,,
Y,4818,Boehringer Ingelheim,QB16452X,,,
